sub_sent,class,domain,intent
문서 읽는빠르고 구동되는,DIGITAL_FEAT사무/인강용,DIGITAL,FEAT
다른거 추천해,DIGITAL_P추가추천,DIGITAL,P
할인쿠폰을 받았는데 적용,DIGITAL_P쿠폰적용문의,DIGITAL,P
흐엉.. 알겠습니당,DIGITAL_YESNOyes,DIGITAL,YESNO
전화를 몇분째 기달,DIGITAL_GREETINGclaim,DIGITAL,GREETING
인증요청했는데,DIGITAL_P본인인증문의,DIGITAL,P
니 죽고 싶냐,DIGITAL_slang,DIGITAL,slang
반납으로 택배 접수,DIGITAL_P반품문의,DIGITAL,P
$처음으로$,DIGITAL_P처음으로,DIGITAL,P
잘 못 정하겠어요,DIGITAL_DONTCAREdontcare_GREETINGgomin,DIGITAL,DONTCARE
딴거 물어봐도 돼,DIGITAL_P채팅,DIGITAL,P
$송장번호$,DIGITAL_P배송문의,DIGITAL,P
가스 건조기,"DIGITAL_CATE건조기_FEAT가스식,FAQ_ENTRY가스식건조기",DIGITAL,CATE
$괜찮네$,DIGITAL_GREETINGgood,DIGITAL,GREETING
Help me cancel,DIGITAL_P주문취소,DIGITAL,P
적립이 안되고 있네요,DIGITAL_P적립문의,DIGITAL,P
캐시 인출,DIGITAL_P기타faq문의,DIGITAL,P
일시정지 가능한가요,DIGITAL_P기타faq문의,DIGITAL,P
첫구매 혜택,DIGITAL_P할인문의,DIGITAL,P
통화는 힘든가요,DIGITAL_P전화요청,DIGITAL,P
$마우스라고요$,DIGITAL_CATEN마우스,DIGITAL,CATEN
돈은 어떻게 받을수,DIGITAL_P환불문의,DIGITAL,P
백종원 전기밥솥,DIGITAL_BRAND대유위니아_CATE전기밥솥,DIGITAL,BRAND
쿠팡에서 파는거보다 싸,DIGITAL_P상담원연결,DIGITAL,P
웃긴다,DIGITAL_GREETINGsmile,DIGITAL,GREETING
a/s되겠죠,DIGITAL_Pa/s문의,DIGITAL,P
뭐가 좋아,DIGITAL_P추천,DIGITAL,P
어떻게 끔,DIGITAL_P도움말보기,DIGITAL,P
2way,DIGITAL_FEAT2way,DIGITAL,FEAT
쇼하네,DIGITAL_slang,DIGITAL,slang
$누구이신가욤$,DIGITAL_GREETINGintro,DIGITAL,GREETING
집에서 두고 사용할거라,DIGITAL_FEAT가정용_VOLUMEm,DIGITAL,FEAT
상담 불가능,DIGITAL_P상담요청,DIGITAL,P
어디루 보면 알수 있어요,DIGITAL_P기타faq문의,DIGITAL,P
도착 날짜,DIGITAL_P배송일문의,DIGITAL,P
도움 되었습니다,DIGITAL_GREETINGthankyou,DIGITAL,GREETING
럭키넘버,DIGITAL_P행사문의,DIGITAL,P
마일리지 관련 문의,DIGITAL_P적립문의,DIGITAL,P
더 깎아줘요,DIGITAL_P바로할인가,DIGITAL,P
고생하셔요^^,DIGITAL_GREETINGsugo,DIGITAL,GREETING
빨리 해준다고 해놓고,DIGITAL_GREETINGclaim,DIGITAL,GREETING
고생해,DIGITAL_GREETINGsugo,DIGITAL,GREETING
철정,DIGITAL_FEAT명품철정,DIGITAL,FEAT
답변 너무 느린데여,DIGITAL_GREETINGwait,DIGITAL,GREETING
카드결제하려는데 자꾸오류나요,DIGITAL_P결제문의,DIGITAL,P
구매내역,DIGITAL_P주문이력확인,DIGITAL,P
배송지연 마일리지 받는방법,DIGITAL_P적립문의,DIGITAL,P
문의좀 할께요,DIGITAL_P상담요청,DIGITAL,P
배송준비던데요,DIGITAL_P배송문의,DIGITAL,P
직구상품,DIGITAL_CATEN직구상품,DIGITAL,CATEN
디자인 이쁜,DIGITAL_P디자인문의,DIGITAL,P
배송까지 얼마나 걸리나요,DIGITAL_P배송문의,DIGITAL,P
$칼$,DIGITAL_CATEN칼,DIGITAL,CATEN
좀 보고 더 문의,DIGITAL_P대화종료,DIGITAL,P
세꺄,DIGITAL_slang,DIGITAL,slang
Mac북,"DIGITAL_CATE애플_SUBCATmac_MACPRODUCTmacbook,FAQ_ENTRYmacbook",DIGITAL,CATE
고객센터하고 통화,DIGITAL_P전화요청,DIGITAL,P
모델 번호 알려줘,DIGITAL_P상품문의,DIGITAL,P
기존에 있던 물건은 치워,DIGITAL_P폐가전수거,DIGITAL,P
자꾸 딴소리하세요,DIGITAL_GREETINGclaim,DIGITAL,GREETING
더 큰건 없어,DIGITAL_P사이즈문의_SIZEl,DIGITAL,P
공부 더 해야겠다,DIGITAL_GREETINGclaim,DIGITAL,GREETING
디자이너용,DIGITAL_FEAT그래픽작업용,DIGITAL,FEAT
인사잘하네,DIGITAL_GREETINGcheer,DIGITAL,GREETING
$오$,DIGITAL_GREETINGcheer,DIGITAL,GREETING
$회원 혜택$,DIGITAL_P쿠폰요청,DIGITAL,P
$쪽$,DIGITAL_bypass,DIGITAL,bypass
e11등급,DIGITAL_FEATe11등급,DIGITAL,FEAT
i맥,DIGITAL_CATE애플_SUBCATmac_MACPRODUCTimac,DIGITAL,CATE
상담 그만할께요,DIGITAL_P대화종료,DIGITAL,P
정풍인거죠,DIGITAL_P정품문의,DIGITAL,P
$아니 먹을거$,DIGITAL_CATEN먹을거,DIGITAL,CATEN
기프티콘으로 교환했는데 아직도 안왔어요,DIGITAL_P기타faq문의,DIGITAL,P
대단한데,DIGITAL_GREETINGcheer,DIGITAL,GREETING
누락상품확인바래요,DIGITAL_P기타faq문의,DIGITAL,P
잡담도 가능해,DIGITAL_P채팅,DIGITAL,P
색상 말고,DIGITAL_NEG아님,DIGITAL,NEG
주문한상품문의,DIGITAL_P기타faq문의,DIGITAL,P
너무 큰 건 부담,"DIGITAL_SIZEm,MART_ATTR중형",DIGITAL,SIZE
뒤져버려라,DIGITAL_slang,DIGITAL,slang
해킹용,DIGITAL_FEAT해킹용,DIGITAL,FEAT
$똑똑해$,DIGITAL_GREETINGcheer,DIGITAL,GREETING
성별이 인정안된다 한다,DIGITAL_P기타faq문의,DIGITAL,P
내마음대로쿠폰,DIGITAL_P쿠폰요청,DIGITAL,P
주문하면 언제 와,DIGITAL_P배송일문의,DIGITAL,P
$잘 봤어오$,DIGITAL_P대화종료,DIGITAL,P
$에러$,DIGITAL_GREETINGclaim,DIGITAL,GREETING
$별로인것 같$,DIGITAL_GREETINGso,DIGITAL,GREETING
추가추천,DIGITAL_P추가추천,DIGITAL,P
다음에 할께요,DIGITAL_P대화종료,DIGITAL,P
$똠개$,DIGITAL_slang,DIGITAL,slang
태어나자 마자 열일,DIGITAL_GREETINGcheer,DIGITAL,GREETING
여기 옶음,DIGITAL_YESNOno,DIGITAL,YESNO
풀스테인리스,DIGITAL_FEATfull스테인리스,DIGITAL,FEAT
$소개해줘$,DIGITAL_GREETINGintro,DIGITAL,GREETING
$쓸모없는녀석$,DIGITAL_slang,DIGITAL,slang
실망이네 바보,DIGITAL_GREETINGclaim,DIGITAL,GREETING
휴대폰,DIGITAL_CATEN핸드폰,DIGITAL,CATEN
도움 되었습니당ㅋㅋ 감사합니다ㅋㅋ,DIGITAL_GREETINGthankyou,DIGITAL,GREETING
소개를 좀 해봐라,DIGITAL_GREETINGintro,DIGITAL,GREETING
새새끼,DIGITAL_slang,DIGITAL,slang
$몇시$,DIGITAL_P채팅,DIGITAL,P
학습이부족하군,DIGITAL_GREETINGclaim_P채팅,DIGITAL,GREETING
수고가 많으셔요,DIGITAL_GREETINGsugo,DIGITAL,GREETING
나이가 몇이야,DIGITAL_GREETINGintro,DIGITAL,GREETING
퍽유,DIGITAL_slang,DIGITAL,slang
천천히 해주셔도 됩니다,DIGITAL_bypass,DIGITAL,bypass
너하고 대화하는 내가 바보다,DIGITAL_GREETINGclaim,DIGITAL,GREETING
오케이 케쉬백 번호 어찌,DIGITAL_Pok캐시백문의_P기타faq문의,DIGITAL,P
그외에 상품은여,DIGITAL_P상담품목,DIGITAL,P
무이자 되는 제품이고,DIGITAL_FEAT무이자할부,DIGITAL,FEAT
아이용,DIGITAL_FEAT어린이용,DIGITAL,FEAT
발송 예정이라 들었는데 언제쯤,DIGITAL_P배송문의,DIGITAL,P
제품 안찾는다고,DIGITAL_P기타faq문의,DIGITAL,P
내가 주문했던 상품,DIGITAL_P주문이력확인,DIGITAL,P
유명제품으로,DIGITAL_BRAND대기업,DIGITAL,BRAND
관심물품,DIGITAL_P찜한상품,DIGITAL,P
애미뒤졌나,DIGITAL_slang,DIGITAL,slang
매장 제품이랑 뭐가 달라요,DIGITAL_P제품별차이점,DIGITAL,P
$피니쉬$,DIGITAL_P대화종료,DIGITAL,P
무엇으로 보상받나요,DIGITAL_GREETINGclaim,DIGITAL,GREETING
취소는 어떻게 하나요,DIGITAL_P주문취소,DIGITAL,P
장바구니도 안열린다구요,DIGITAL_P기타faq문의,DIGITAL,P
꼭 제품만 문의,DIGITAL_P상담품목,DIGITAL,P
히토메보레,DIGITAL_GREETINGgood,DIGITAL,GREETING
천천히 말해,DIGITAL_bypass,DIGITAL,bypass
쿠폰의 사용 기간은 어떻게 확인해야 하나요,DIGITAL_P기타faq문의,DIGITAL,P
수고했,DIGITAL_GREETINGsugo,DIGITAL,GREETING
시발련나,DIGITAL_slang,DIGITAL,slang
$별로잖아$,DIGITAL_GREETINGso,DIGITAL,GREETING
$부라운$,DIGITAL_BRAND오랄비,DIGITAL,BRAND
최소사향은 어떻게,DIGITAL_P사양문의,DIGITAL,P
쿠폰찾아주세요,DIGITAL_P쿠폰요청,DIGITAL,P
입금을 했는,DIGITAL_P결제문의,DIGITAL,P
개그 한 번 해줘,DIGITAL_P채팅,DIGITAL,P
carrier,DIGITAL_BRAND캐리어,DIGITAL,BRAND
면도 하려구요,DIGITAL_CATE전기면도기,DIGITAL,CATE
여쭤보구 싶,DIGITAL_P상담요청,DIGITAL,P
다시 쿠폰이생기나요,DIGITAL_P쿠폰적용문의,DIGITAL,P
아래서만 골라야해요,DIGITAL_P추가추천,DIGITAL,P
사은품 받을수있는 건가요,DIGITAL_P사은품문의,DIGITAL,P
안됨,DIGITAL_NEG아님,DIGITAL,NEG
가격 알려줘,DIGITAL_P가격문의,DIGITAL,P
쿠폰 받으려니 인증,DIGITAL_P본인인증문의,DIGITAL,P
반품접수했는데,DIGITAL_P반품문의,DIGITAL,P
a/s 받기 쉬운,DIGITAL_Pa/s문의,DIGITAL,P
아직인가요,DIGITAL_GREETINGwait,DIGITAL,GREETING
연말 행사제품,DIGITAL_P할인행사,DIGITAL,P
찾는제품은 없지만 궁금한점이 있습니다 ,DIGITAL_P상담요청,DIGITAL,P
18단 에어컨,DIGITAL_CATEaircon_BRAND캐리어_PRODUCT18단에어컨,DIGITAL,CATE
$상담함$,DIGITAL_P상담완료,DIGITAL,P
error가 떠요,DIGITAL_P기타faq문의,DIGITAL,P
할부안되나요,DIGITAL_P결제문의 ,DIGITAL,P
캠핑용,DIGITAL_FEAT캠핑용,DIGITAL,FEAT
$찜$,DIGITAL_P찜한상품,DIGITAL,P
마일리지 전환취소하고 싶은데요,DIGITAL_P기타faq문의,DIGITAL,P
흡입+걸레,"DIGITAL_FEAT흡입+걸레,FAQ_ENTRY흡입+걸레",DIGITAL,FEAT
추천이유,DIGITAL_P추천기준,DIGITAL,P
$그지야$,DIGITAL_slang,DIGITAL,slang
위니아,DIGITAL_BRAND대유위니아,DIGITAL,BRAND
디게 좋네요,DIGITAL_GREETINGgood,DIGITAL,GREETING
몇개월까지 가능한가요,DIGITAL_P결제문의,DIGITAL,P
$복잡하다$,DIGITAL_GREETINGclaim,DIGITAL,GREETING
조회시간이 만료,DIGITAL_P기타faq문의,DIGITAL,P
엉망이네,DIGITAL_GREETINGclaim,DIGITAL,GREETING
언제 구입 한 건지 확인,DIGITAL_P주문이력확인,DIGITAL,P
4way,DIGITAL_FEAT4way,DIGITAL,FEAT
안타깝네요,DIGITAL_GREETINGclaim,DIGITAL,GREETING
혼자 살아서요,"DIGITAL_SIZEs,MART_ATTR소형",DIGITAL,SIZE
도대체 뭘 찾을수있어,DIGITAL_GREETINGclaim,DIGITAL,GREETING
마일리지실물교환,DIGITAL_P기타faq문의,DIGITAL,P
sk 내맘대로,DIGITAL_P쿠폰요청,DIGITAL,P
좋은 하루 보,DIGITAL_GREETINGbye,DIGITAL,GREETING
간단한 게임이랑,DIGITAL_FEAT게임용,DIGITAL,FEAT
너무 무성의하네,DIGITAL_GREETINGclaim,DIGITAL,GREETING
문의 지금 돼요,DIGITAL_P상담시간,DIGITAL,P
넓은 평수,"DIGITAL_SIZEl,MART_ATTR대형",DIGITAL,SIZE
묻는말에만 대답해라,DIGITAL_P채팅,DIGITAL,P
제품 짝퉁,DIGITAL_P기타faq문의,DIGITAL,P
평균적인 가격대,DIGITAL_PRICEm,DIGITAL,PRICE
쿠폰 정보,DIGITAL_P쿠폰요청,DIGITAL,P
$있음 좋지$,DIGITAL_YESNOok,DIGITAL,YESNO
사업자번호,DIGITAL_P기타faq문의,DIGITAL,P
주문내역 어디서 확인하나요,DIGITAL_P주문이력확인,DIGITAL,P
뉍,DIGITAL_YESNOyes,DIGITAL,YESNO
제조사 무관,DIGITAL_BRAND브랜드DC,DIGITAL,BRAND
휴대할 수 있을 정도면,DIGITAL_FEAT휴대용,DIGITAL,FEAT
$주문하기$,DIGITAL_P주문,DIGITAL,P
캐시출금신청했는데 출금이 안되어 있네요,DIGITAL_P기타faq문의,DIGITAL,P
$여여$,DIGITAL_bypass,DIGITAL,bypass
너무간편하네요,DIGITAL_GREETINGcheer,DIGITAL,GREETING
할인쿠폰 왜 사용 안되요,DIGITAL_P쿠폰적용문의,DIGITAL,P
여기서 물건 팔수있,DIGITAL_P기타faq문의,DIGITAL,P
쿠폰이 안보여요,DIGITAL_P쿠폰요청,DIGITAL,P
로보어드바이저,DIGITAL_P챗봇여부문의,DIGITAL,P
취소물품,DIGITAL_P주문취소,DIGITAL,P
찐따야,DIGITAL_slang,DIGITAL,slang
$너는 뭐양$,DIGITAL_GREETINGintro,DIGITAL,GREETING
$다른건요$,DIGITAL_P추가추천,DIGITAL,P
$공짜에요$,DIGITAL_P채팅,DIGITAL,P
$올리는 방법$,DIGITAL_P기타faq문의,DIGITAL,P
가격이요,DIGITAL_P가격문의,DIGITAL,P
$왜 못하니$,DIGITAL_GREETINGclaim,DIGITAL,GREETING
l쥐,DIGITAL_BRANDlg전자,DIGITAL,BRAND
그래픽도 어느정도 있으면,DIGITAL_FEAT그래픽작업용,DIGITAL,FEAT
아직 멀었나요,DIGITAL_GREETINGwait,DIGITAL,GREETING
이놈아,DIGITAL_slang,DIGITAL,slang
비밀번호 수정,DIGITAL_P회원정보문의,DIGITAL,P
쿠폰 발행해줘,DIGITAL_P쿠폰요청,DIGITAL,P
나도방갑,DIGITAL_bypass,DIGITAL,bypass
찜 어떠케 쓰는거니,DIGITAL_P찜기능안내,DIGITAL,P
$스페셜쿠폰$,DIGITAL_P쿠폰요청,DIGITAL,P
$티$,DIGITAL_CATEN티셔츠,DIGITAL,CATEN
택배예정일,DIGITAL_P배송일문의,DIGITAL,P
지금 주문하면 언제 도착,DIGITAL_P배송일문의,DIGITAL,P
$취소문의$,DIGITAL_P주문취소,DIGITAL,P
꺼져,DIGITAL_slang,DIGITAL,slang
$상담사님$,DIGITAL_P상담원연결,DIGITAL,P
OK캐쉬백은 언제 사용할 수 있나요,DIGITAL_P결제문의,DIGITAL,P
니세키냐,DIGITAL_slang,DIGITAL,slang
쿠폰사용이안되요,DIGITAL_P쿠폰적용문의,DIGITAL,P
무쓸이네 너,DIGITAL_GREETINGclaim,DIGITAL,GREETING
내 등급 알려,DIGITAL_P회원정보문의,DIGITAL,P
위조제품 신고,DIGITAL_P기타faq문의,DIGITAL,P
듀얼파워,DIGITAL_FEAT듀얼파워,DIGITAL,FEAT
내가필요한거,DIGITAL_P추천,DIGITAL,P
쿠폰은 어떻게 받나요,DIGITAL_P쿠폰요청,DIGITAL,P
$찾고계시나요$,DIGITAL_GREETINGwait,DIGITAL,GREETING
$이전 화면$,DIGITAL_P이전메뉴이동,DIGITAL,P
$한불$,DIGITAL_P환불문의,DIGITAL,P
쿠폰 문제,DIGITAL_P쿠폰적용문의,DIGITAL,P
바쁘신가 봐요,DIGITAL_P대화종료,DIGITAL,P
차이를 모르겠네요,DIGITAL_P차이점,DIGITAL,P
뭐가 좋을까요,DIGITAL_P추천,DIGITAL,P
생체 인증,DIGITAL_P기타faq문의,DIGITAL,P
제품은 어떤지도 봐주시겠어요,DIGITAL_P상품문의_P상담원연결,DIGITAL,P
멤버쉽 포인트 사용 문의,DIGITAL_P기타faq문의,DIGITAL,P
가품 보상,DIGITAL_P기타faq문의,DIGITAL,P
pm1.0센서,DIGITAL_FEATpm1.0센서,DIGITAL,FEAT
$보고싶어$,DIGITAL_P채팅,DIGITAL,P
성별이뭐야,DIGITAL_P채팅,DIGITAL,P
$아마도요$,DIGITAL_YESNOyes,DIGITAL,YESNO
딱히 정한건엄고요,DIGITAL_DONTCAREdontcare,DIGITAL,DONTCARE
너 해고야,DIGITAL_GREETINGclaim,DIGITAL,GREETING
마야를 사용할건데요,DIGITAL_FEAT사무/인강용,DIGITAL,FEAT
쿠키 항상 허용,DIGITAL_P기타faq문의,DIGITAL,P
전기밥통,DIGITAL_CATE전기밥솥,DIGITAL,CATE
반납신청이 자동,DIGITAL_CATEN대여,DIGITAL,CATEN
다시문의했어요 알겠습니다,DIGITAL_P대화종료,DIGITAL,P
비교해줘,DIGITAL_P상품비교,DIGITAL,P
사기당했어요,DIGITAL_P기타faq문의,DIGITAL,P
빌린 상품,DIGITAL_CATEN대여,DIGITAL,CATEN
바보,DIGITAL_slang,DIGITAL,slang
$어딨나$,DIGITAL_bypass,DIGITAL,bypass
교환해주시든가,DIGITAL_P교환문의,DIGITAL,P
$제가$,DIGITAL_bypass,DIGITAL,bypass
개인 전기밥솥,DIGITAL_CATE전기밥솥_SIZEs,DIGITAL,CATE
잠만요,DIGITAL_GREETINGwait,DIGITAL,GREETING
너무 작지만 않으면 되요,"DIGITAL_SIZEm,MART_ATTR중형",DIGITAL,SIZE
최대한 싸게,DIGITAL_PRICExs,DIGITAL,PRICE
포인트씩 준다고 하는데 왜 안되나요,DIGITAL_P적립문의,DIGITAL,P
쿠폰사용을 할수가 없는데,DIGITAL_P쿠폰적용문의,DIGITAL,P
돈을 추가로 내야 하나,DIGITAL_P기타faq문의,DIGITAL,P
찾는제품이 딱히 업써여,DIGITAL_DONTCAREdontcare,DIGITAL,DONTCARE
크롬 노트북,DIGITAL_CATE노트북_PRODUCT크롬북,DIGITAL,CATE
쿠폰 적용이라든가,DIGITAL_P쿠폰적용문의,DIGITAL,P
HDTV,DIGITAL_CATEtv_FEAThd,DIGITAL,CATE
주문내역 지우기,DIGITAL_P기타faq문의,DIGITAL,P
진짜 욕나온다,DIGITAL_GREETINGclaim,DIGITAL,GREETING
무통장 입금이 없어요,DIGITAL_P결제문의,DIGITAL,P
애플 뺄게요,DIGITAL_CATE애플_NEG아님,DIGITAL,CATE
skt membership 사용법,DIGITAL_P기타faq문의,DIGITAL,P
차이점 모죠,DIGITAL_P차이점,DIGITAL,P
비씨포인트,DIGITAL_P결제문의,DIGITAL,P
찜해둔 상품은 어디서,DIGITAL_P찜한상품,DIGITAL,P
$딴거요$,DIGITAL_P추가추천,DIGITAL,P
쎄엑,DIGITAL_slang,DIGITAL,slang
아구통,DIGITAL_slang,DIGITAL,slang
$그만보내$,DIGITAL_P기타faq문의,DIGITAL,P
디지고싶냐,DIGITAL_slang,DIGITAL,slang
$아 뭐야$,DIGITAL_GREETINGclaim,DIGITAL,GREETING
모델명이 사이트마다 다른가요,DIGITAL_P제품별차이점,DIGITAL,P
친절하게 답변해주셔서 감사합니다^^,DIGITAL_GREETINGthankyou,DIGITAL,GREETING
내가 한 말이 반복되니,DIGITAL_GREETINGclaim,DIGITAL,GREETING
소형 냉장고,"DIGITAL_CATE냉장고_SIZEs_SHAPE일반,FAQ_ENTRY소형냉장고",DIGITAL,CATE
환급은  언제쯤되나요,DIGITAL_P환불문의,DIGITAL,P
핫딜상품 소개,DIGITAL_P행사문의,DIGITAL,P
없을껄,DIGITAL_DONTCAREdontcare,DIGITAL,DONTCARE
//그래픽,DIGITAL_FEAT그래픽작업용,DIGITAL,FEAT
지럴,DIGITAL_slang,DIGITAL,slang
11 pay 생체등록,DIGITAL_P결제문의,DIGITAL,P
쿠폰 적용해서,DIGITAL_P쿠폰적용문의,DIGITAL,P
통관고유부호,DIGITAL_P회원정보문의,DIGITAL,P
$너 싫어$,DIGITAL_P채팅,DIGITAL,P
해외카드,DIGITAL_P결제문의,DIGITAL,P
가지고 다니기 편하고,DIGITAL_FEAT휴대용,DIGITAL,FEAT
$수수료$,DIGITAL_P결제문의,DIGITAL,P
$비용이$,DIGITAL_P가격문의,DIGITAL,P
오 언제 이런 기능이,DIGITAL_GREETINGcheer,DIGITAL,GREETING
걸레질도 같이하면 좋겠는데요,DIGITAL_FEAT물걸레청소,DIGITAL,FEAT
습도표시,DIGITAL_FEAT습도표시,DIGITAL,FEAT
상품 발송 안해주나요,DIGITAL_P배송문의,DIGITAL,P
$가장 큰$,"DIGITAL_SIZExl,MART_ATTR특대형",DIGITAL,SIZE
문자좀 보내주세요,DIGITAL_P기타faq문의,DIGITAL,P
어떻게 딱 찾았니,DIGITAL_GREETINGcheer,DIGITAL,GREETING
선호 제조사 따로 없으나,DIGITAL_BRAND브랜드DC,DIGITAL,BRAND
좇이,DIGITAL_slang,DIGITAL,slang
페이등록된 카드 삭제,DIGITAL_P결제문의,DIGITAL,P
전력효율 제일 좋은,DIGITAL_FEAT1등급,DIGITAL,FEAT
상담원합,DIGITAL_P상담요청,DIGITAL,P
직접 답변해주시는 건가요,DIGITAL_P챗봇여부문의,DIGITAL,P
랜탈 문의,DIGITAL_P렌탈문의,DIGITAL,P
구매 확정 가격이,DIGITAL_P가격문의,DIGITAL,P
사진올리려고 하는데요,DIGITAL_P사진올리기기능안내,DIGITAL,P
문의글 어디에,DIGITAL_P회원정보문의,DIGITAL,P
교환 진행을 안해주시나,DIGITAL_P교환문의,DIGITAL,P
할인 쿠폰 적용 안돼죠,DIGITAL_P쿠폰적용문의,DIGITAL,P
집이 어디니,DIGITAL_P채팅,DIGITAL,P
인기 있는 제품,DIGITAL_RECOMpopular,DIGITAL,RECOM
전화 받지 않아서 문의,DIGITAL_GREETINGclaim,DIGITAL,GREETING
제가 운영체제를 못깔아서,DIGITAL_P설치문의_FEAT운영체제포함,DIGITAL,P
$안내켜$,DIGITAL_GREETINGso,DIGITAL,GREETING
영어를 할줄아니,DIGITAL_P채팅,DIGITAL,P
취소요청,DIGITAL_P주문취소,DIGITAL,P
$그램이요$,DIGITAL_CATE노트북_BRANDlg전자_PRODUCT그램,DIGITAL,CATE
미닛 냉장고,DIGITAL_CATE냉장고_SIZEs,DIGITAL,CATE
11pay 비밀번호변경,DIGITAL_P결제문의,DIGITAL,P
다이승,DIGITAL_BRAND다이슨,DIGITAL,BRAND
말귀를 못알아듣네,DIGITAL_GREETINGclaim,DIGITAL,GREETING
$제품교환$,DIGITAL_P교환문의,DIGITAL,P
아직도착을 안하는겁니까,DIGITAL_P배송문의,DIGITAL,P
반품 요청 중입니다,DIGITAL_P반품문의,DIGITAL,P
//에어2,DIGITAL_CATE애플_SUBCATmac_MACPRODUCTmacbookair,DIGITAL,CATE
//기타,DIGITAL_BRAND기타,DIGITAL,BRAND
인터넷 이런거,DIGITAL_FEAT사무/인강용,DIGITAL,FEAT
뭘 사야할지 잘 모르겠어,DIGITAL_P추천,DIGITAL,P
채팅봇,DIGITAL_GREETINGchatbot,DIGITAL,GREETING
여대생,DIGITAL_FEAT대학생용,DIGITAL,FEAT
앗 빠르네요,DIGITAL_GREETINGcheer,DIGITAL,GREETING
반품 물건 내가 직접,DIGITAL_P반품문의,DIGITAL,P
세척이 쉬운 제품,DIGITAL_FEAT자동세척,DIGITAL,FEAT
챗봇이 뭐하는거야,DIGITAL_GREETINGchatbot,DIGITAL,GREETING
담당자불러와,DIGITAL_P상담사연결,DIGITAL,P
픽업 서비스는 가능,DIGITAL_P배송문의,DIGITAL,P
챗봇신기,DIGITAL_GREETINGgood,DIGITAL,GREETING
$교환했는데$,DIGITAL_P교환문의,DIGITAL,P
이해할수 있는게 뭔데,DIGITAL_GREETINGclaim,DIGITAL,GREETING
마지막 대여,DIGITAL_CATEN대여,DIGITAL,CATEN
//하는 게임 없습니다,DIGITAL_FEAT게임용아님,DIGITAL,FEAT
그냥 대화도 가능해,DIGITAL_P채팅,DIGITAL,P
실측 신청 가능한가요,DIGITAL_P설치문의,DIGITAL,P
시브랄,DIGITAL_slang,DIGITAL,slang
그럼 제가 직접 찾아볼게요,DIGITAL_P대화종료,DIGITAL,P
$재미떠$,DIGITAL_GREETINGfun,DIGITAL,GREETING
이게 뭐냐,DIGITAL_GREETINGclaim,DIGITAL,GREETING
$민원$,DIGITAL_P기타faq문의,DIGITAL,P
반품 관련,DIGITAL_P반품문의,DIGITAL,P
용량은 어느정도가,DIGITAL_P용량문의,DIGITAL,P
좋은게 오픈했네,DIGITAL_GREETINGcheer,DIGITAL,GREETING
레포트 작성,DIGITAL_FEAT학습용,DIGITAL,FEAT
배송지 주소를 입력하는데 자꾸 없,DIGITAL_P기타faq문의,DIGITAL,P
선물 추천,DIGITAL_FEAT선물용,DIGITAL,FEAT
동부전자,DIGITAL_BRAND동부대우전자,DIGITAL,BRAND
가격은,DIGITAL_P가격문의2,DIGITAL,P
알리미신청,DIGITAL_P기타faq문의,DIGITAL,P
문상등록,DIGITAL_P기타faq문의,DIGITAL,P
넘 좋아용,DIGITAL_GREETINGgood,DIGITAL,GREETING
씨붕,DIGITAL_slang,DIGITAL,slang
누구에요,DIGITAL_P채팅,DIGITAL,P
아이디 연동,DIGITAL_P기타faq문의,DIGITAL,P
반품보냈는데환불,DIGITAL_P환불문의,DIGITAL,P
$시르다$,DIGITAL_NEG아님,DIGITAL,NEG
$하는법좀$,DIGITAL_bypass,DIGITAL,bypass
제조사는 상관없어요,DIGITAL_BRANDall,DIGITAL,BRAND
(하트4),DIGITAL_IMOTICON(하트4),DIGITAL,IMOTICON
죤나느려,DIGITAL_GREETINGclaim,DIGITAL,GREETING
왜 같은 얘기만,DIGITAL_GREETINGclaim_P채팅,DIGITAL,GREETING
왜 적용이 안되나요,DIGITAL_P쿠폰적용문의,DIGITAL,P
평일에 해야되나요,DIGITAL_P상담시간,DIGITAL,P
//무이자할부 살 수 있,DIGITAL_FEAT무이자할부,DIGITAL,FEAT
$아라쪙$,DIGITAL_YESNOyes,DIGITAL,YESNO
프리스타일 미니,DIGITAL_CATE냉장고_BRANDlg전자_PRODUCT프리스타일,DIGITAL,CATE
외산,DIGITAL_BRAND외제,DIGITAL,BRAND
안 비싼가여,DIGITAL_P가격문의,DIGITAL,P
V7플러피 플러스,DIGITAL_CATE청소기_BRAND다이슨_PRODUCTv7플러피플러스,DIGITAL,CATE
상담 가능할,DIGITAL_P상담요청,DIGITAL,P
찿는개없네요,DIGITAL_GREETINGclaim,DIGITAL,GREETING
젠북 ,DIGITAL_CATE노트북_BRANDasus_PRODUCT젠북,DIGITAL,CATE
전기소모가 가장 적은것,DIGITAL_FEAT1등급,DIGITAL,FEAT
$원해요$,DIGITAL_P추천,DIGITAL,P
vip클럽 메뉴,DIGITAL_P기타faq문의,DIGITAL,P
씹창,DIGITAL_slang,DIGITAL,slang
요뵹신,DIGITAL_slang,DIGITAL,slang
어떤 차이가 잇죠,DIGITAL_P차이점,DIGITAL,P
맥북,"DIGITAL_CATE애플_SUBCATmac_MACPRODUCTmacbook,FAQ_ENTRYmacbook",DIGITAL,CATE
제로 공기청정기,DIGITAL_CATE공기청정기_BRAND위닉스_PRODUCT제로,DIGITAL,CATE
$낼하래$,DIGITAL_P대화종료,DIGITAL,P
