sub_sent,class,domain,intent
생산일자와 유통기한을 알려,MART_P유통기한문의,MART,P
자주 대화하자,DIGITAL_P대화종료,DIGITAL,P
생산일자가 언제,MART_P제조일자문의,MART,P
사려는데,DIGITAL_P추천,DIGITAL,P
제품올리는방법,DIGITAL_P기타faq문의,DIGITAL,P
유아동데이,DIGITAL_P행사문의,DIGITAL,P
상담센터 연결 안돼요,DIGITAL_P전화요청,DIGITAL,P
쿠폰은 일일이 다운받아야 되나요,DIGITAL_P쿠폰적용문의,DIGITAL,P
닉넴 어떻게 바꾸나요,DIGITAL_P회원정보문의,DIGITAL,P
십일절 상품,MART_P십일절,MART,P
캐시적립 인출요망,DIGITAL_P기타faq문의,DIGITAL,P
학습은 얼마나 했나요,DIGITAL_P채팅,DIGITAL,P
$알리미$,DIGITAL_P알림설정문의_P기타faq문의,DIGITAL,P
말걸지 말라고,DIGITAL_P대화종료,DIGITAL,P
주문 결제했는데,DIGITAL_P결제완료,DIGITAL,P
오늘까지 배송되는 것,MART_P배송문의,MART,P
마일리지 할인,DIGITAL_P할인문의,DIGITAL,P
정보변경 요청,DIGITAL_P회원정보문의,DIGITAL,P
배송건으로 문의하고싶은데,DIGITAL_P배송문의,DIGITAL,P
상담하고싶어요,DIGITAL_P상담요청,DIGITAL,P
$신한 카드$,DIGITAL_P결제문의,DIGITAL,P
쿠폰 왜다운이안되요,DIGITAL_P쿠폰요청,DIGITAL,P
금액도 달라지는건지 확인부탁,DIGITAL_P결제문의,DIGITAL,P
적립급 없어요,DIGITAL_P적립문의,DIGITAL,P
$싸게$,MART_P행사상품,MART,P
$교환했는데$,DIGITAL_P교환문의,DIGITAL,P
$사진$,DIGITAL_P사진올리기기능안내,DIGITAL,P
추천 제품명 주시면,DIGITAL_P추천,DIGITAL,P
당일 배송 가능,DIGITAL_P배송일문의,DIGITAL,P
어디루 보면 알수 있어요,DIGITAL_P기타faq문의,DIGITAL,P
주문상품 재고품절건,DIGITAL_P재고문의_P상담원연결 ,DIGITAL,P
$돈이없어$,DIGITAL_P채팅,DIGITAL,P
판매 등록,DIGITAL_P기타faq문의,DIGITAL,P
신선식품문의,MART_P신선식품문의,MART,P
배송비는 어떻게 결제,DIGITAL_P결제문의,DIGITAL,P
가입해야되는건가,DIGITAL_P기타faq문의,DIGITAL,P
주소 어케 바꿈,DIGITAL_P배송지변경문의,DIGITAL,P
십일절 문의,MART_P십일절,MART,P
문의드릴께,DIGITAL_P상담요청,DIGITAL,P
영어 잘해,DIGITAL_P채팅,DIGITAL,P
최저가,MART_P행사상품,MART,P
취소를 안하고있넹,DIGITAL_P주문취소,DIGITAL,P
$비번$,DIGITAL_P기타faq문의,DIGITAL,P
제일 저렴한게 얼만가여,DIGITAL_P가격문의,DIGITAL,P
나의혜택,DIGITAL_P할인문의,DIGITAL,P
지난번 샀던,MART_P지난구매상품보기,MART,P
가능한게 뭐바 있나요,DIGITAL_P상담품목,DIGITAL,P
주문한상품이 목록에서안보이고,DIGITAL_P주문이력확인,DIGITAL,P
제가지금주문넣엇는데,DIGITAL_P주문확인_P기타faq문의,DIGITAL,P
쿠폰 선택,DIGITAL_P쿠폰적용문의,DIGITAL,P
찾고 잌ㅅ어요,DIGITAL_P상담요청,DIGITAL,P
일반상담도 가능한거죠,DIGITAL_P상담품목,DIGITAL,P
반품하고 싶은데,DIGITAL_P반품문의,DIGITAL,P
심심할때 뭐할까요,DIGITAL_P채팅,DIGITAL,P
검색이 안되요,DIGITAL_P기타faq문의,DIGITAL,P
$화나요$,DIGITAL_P채팅_GREETINGclaim,DIGITAL,P
결제가능한가요,DIGITAL_P결제문의,DIGITAL,P
핸드폰으로 결제할려고,DIGITAL_P결제문의,DIGITAL,P
어떤것이 괜찬은지,DIGITAL_P상품문의_P상담원연결,DIGITAL,P
운영 시간은 언제,DIGITAL_P상담시간,DIGITAL,P
가격대가 얼마 되나요,DIGITAL_P가격문의,DIGITAL,P
$1:1문의$,DIGITAL_P상담원연결,DIGITAL,P
최근에 산 거,MART_P지난구매상품보기,MART,P
도착하지 않,DIGITAL_P배송문의,DIGITAL,P
상담 스타트,DIGITAL_P새상담,DIGITAL,P
자주 사용하는 상품,MART_P자주구매상품,MART,P
캐쉬 출금했는데 입금,DIGITAL_P기타faq문의,DIGITAL,P
밥 뭐먹지,DIGITAL_P채팅,DIGITAL,P
동일 제조일자예요,MART_P제조일자문의,MART,P
최자가 얼마,MART_P행사상품,MART,P
사은품 주세요,MART_P사은품문의,MART,P
다룬거 보여줘,DIGITAL_P추가추천,DIGITAL,P
포장 필요합니다,MART_P포장문의,MART,P
회수 부탁드려요,DIGITAL_P반품문의,DIGITAL,P
또 살래,MART_P지난구매상품보기,MART,P
핫딜 상품 뭔가,DIGITAL_P행사문의,DIGITAL,P
밥줘,DIGITAL_P채팅,DIGITAL,P
보상 마일리지는,DIGITAL_P적립문의,DIGITAL,P
t멤버쉽 카드 등록,DIGITAL_P기타faq문의,DIGITAL,P
하자있어서 반품했는데,DIGITAL_P반품문의,DIGITAL,P
사진 잇나요,DIGITAL_P사진요청,DIGITAL,P
사용할수있는 쿠폰이 없,DIGITAL_P쿠폰적용문의,DIGITAL,P
교환상품 출고안됐네요,DIGITAL_P교환문의,DIGITAL,P
오작동이 너무 많아요,DIGITAL_Pa/s문의,DIGITAL,P
너는 뭐로 코딩됐니,DIGITAL_P채팅,DIGITAL,P
설치비 얼마에요,DIGITAL_P설치비문의,DIGITAL,P
인증하기는어디서하나요,DIGITAL_P본인인증문의,DIGITAL,P
주문한것이 잘못 배송되어서,DIGITAL_P배송문의,DIGITAL,P
$제조회사$,DIGITAL_P상품문의,DIGITAL,P
환불주십시요,DIGITAL_P환불문의,DIGITAL,P
주문했는 왜자동으로 취소,DIGITAL_P주문취소,DIGITAL,P
11페이 어떻게등록해,DIGITAL_P결제문의,DIGITAL,P
설치비,DIGITAL_P설치비문의,DIGITAL,P
반품했는데,DIGITAL_P반품문의,DIGITAL,P
걍 나갈래요,DIGITAL_P대화종료,DIGITAL,P
$더워더워$,DIGITAL_P채팅,DIGITAL,P
sk할인이 안돼요,DIGITAL_P할인문의,DIGITAL,P
탈퇴하려구요,DIGITAL_P회원정보문의,DIGITAL,P
카드 할인 쿠폰 어떻게 사용,DIGITAL_P쿠폰적용문의,DIGITAL,P
쌀수록,MART_P행사상품,MART,P
원 플러스 원,MART_P할인생사,MART,P
배송지를 잘못 입력했는데,DIGITAL_P배송지변경문의,DIGITAL,P
상담 문의해요,DIGITAL_P상담요청,DIGITAL,P
$사람 불러줘요$,DIGITAL_P상담원연결,DIGITAL,P
착불로 할거,DIGITAL_P결제문의,DIGITAL,P
쿠폰 쓸 수 있는 게 한개도 없네,DIGITAL_P쿠폰요청,DIGITAL,P
$확인 바랍니다$,DIGITAL_P확인,DIGITAL,P
재입고는 언제되나요,DIGITAL_P기타faq문의,DIGITAL,P
주문한 상품이 언제 도착,DIGITAL_P배송일문의,DIGITAL,P
마일리지 교환햇는데 어디서,DIGITAL_P기타faq문의,DIGITAL,P
주문한 상품 보여줘,DIGITAL_P주문이력확인,DIGITAL,P
11번 연락처 좀,DIGITAL_P고객센터문의,DIGITAL,P
상품권은 어떻게 사용,DIGITAL_P기타faq문의,DIGITAL,P
봇 맞아?,DIGITAL_P챗봇여부문의,DIGITAL,P
$상담 처음$,DIGITAL_P처음으로,DIGITAL,P
카드 쿠폰,DIGITAL_P결제문의,DIGITAL,P
쿠폰관련해서,DIGITAL_P쿠폰적용문의,DIGITAL,P
설명해줘,"FAQ_P도움말요청,DIGITAL_P설명요청",FAQ,P
전화가 없음,DIGITAL_P전화요청,DIGITAL,P
마일리지 사용하는 방법이여,DIGITAL_P기타faq문의,DIGITAL,P
배송지연인데 보상혜택,DIGITAL_P적립문의,DIGITAL,P
구매한 목록은 어디서,DIGITAL_P주문이력확인,DIGITAL,P
$쿠폰 좀$,DIGITAL_P쿠폰요청,DIGITAL,P
이후 배송 부탁,DIGITAL_P배송문의,DIGITAL,P
제조일자가 어떻게,MART_P제조일자문의,MART,P
배송지 정보등록이 실패,DIGITAL_P배송지변경문의,DIGITAL,P
입금자명 달라도 되,DIGITAL_P결제문의,DIGITAL,P
$댓다$,DIGITAL_P대화종료,DIGITAL,P
깨지지 않게 보내주세요,MART_P포장문의,MART,P
컴퓨터인가요,DIGITAL_P챗봇여부문의,DIGITAL,P
카드로 구매 가능한가요,DIGITAL_P결제문의,DIGITAL,P
사진 어떻게 올려,DIGITAL_P사진올리기기능안내,DIGITAL,P
너 뭐 할 줄 알어,DIGITAL_P도움말보기,DIGITAL,P
어디로 문의하냐고 제차물었는데,DIGITAL_P기타faq문의,DIGITAL,P
가격차이 쫌 나길래,DIGITAL_P가격차이,DIGITAL,P
$이전 화면$,DIGITAL_P이전메뉴이동,DIGITAL,P
카드 저장,DIGITAL_P결제문의,DIGITAL,P
어떻게 장바구니에 담,DIGITAL_P찜기능안내,DIGITAL,P
주문한거 못받았는데요,DIGITAL_P배송문의,DIGITAL,P
영구정지,DIGITAL_P기타faq문의,DIGITAL,P
번호변경가능,DIGITAL_P회원정보문의,DIGITAL,P
연락주시면 되요,DIGITAL_P전화요청,DIGITAL,P
내말피하지마!마트챗봇알잖아,"DIGITAL_P마트챗봇호출,MART_GREETINGcall",DIGITAL,P
마일리지 적립이 안되나,DIGITAL_P적립문의,DIGITAL,P
교환안내,DIGITAL_P교환문의,DIGITAL,P
입금이안대서,DIGITAL_P결제문의,DIGITAL,P
11번가랑 ok캐시백 연결,DIGITAL_P기타faq문의,DIGITAL,P
쓰던 물건은 어떻게,DIGITAL_P폐가전수거,DIGITAL,P
설명,FAQ_P도움말요청,FAQ,P
의견 구할려고 했는데,DIGITAL_P상담요청,DIGITAL,P
품절풀려요?,DIGITAL_P기타faq문의,DIGITAL,P
추천 그만해,DIGITAL_P대화종료,DIGITAL,P
이거 직접 사람이 상담해주시는거에요,DIGITAL_P챗봇여부문의,DIGITAL,P
제품이 이것뿐이예요,DIGITAL_P상담품목,DIGITAL,P
카드 사용 불가,DIGITAL_P결제문의,DIGITAL,P
$자동이예요$,DIGITAL_P챗봇여부문의,DIGITAL,P
기본배송지 어떻게 바꿔,DIGITAL_P배송지변경문의,DIGITAL,P
구입 원합니다,DIGITAL_P추천,DIGITAL,P
욕만 학습했네,DIGITAL_P채팅,DIGITAL,P
지금 대화가능한가요,DIGITAL_P상담시간,DIGITAL,P
$회원 혜택$,DIGITAL_P쿠폰요청,DIGITAL,P
상담원 추가,DIGITAL_P상담원연결,DIGITAL,P
찜 목록,DIGITAL_P찜한상품,DIGITAL,P
카드 할인 상담,DIGITAL_P할인문의,DIGITAL,P
주문상품을 확인,DIGITAL_P주문이력확인,DIGITAL,P
생산지가 어디,MART_P원산지문의,MART,P
여기서 상담안하나요,DIGITAL_P상담품목,DIGITAL,P
자주 구매한거 보여줘,MART_P자주구매상품,MART,P
구매상담 여기서,DIGITAL_P상담요청,DIGITAL,P
차이 먼지,DIGITAL_P차이점,DIGITAL,P
11pay 할인 적용되,DIGITAL_P결제문의,DIGITAL,P
본인승인 어떻게,DIGITAL_P본인인증문의,DIGITAL,P
전화번호 바꼈,DIGITAL_P회원정보문의,DIGITAL,P
그만 배우고,DIGITAL_P채팅,DIGITAL,P
생각보다 비싸네,MART_P행사상품,MART,P
싸고 괜찮은걸로,MART_P행사상품,MART,P
멥버쉽포인트적용,DIGITAL_P기타faq문의,DIGITAL,P
a/s되겠죠,DIGITAL_Pa/s문의,DIGITAL,P
이벤트가궁금해요,MART_P이벤트,MART,P
본인이름수정,DIGITAL_P회원정보문의,DIGITAL,P
주문했는데 계속 상품준비 중,DIGITAL_P배송문의,DIGITAL,P
근데 상담원이세요,DIGITAL_P챗봇여부문의,DIGITAL,P
전화번호 인증은 어디서,DIGITAL_P본인인증문의,DIGITAL,P
십일절 특가,MART_P십일절,MART,P
$어떻게 적용받나요$,DIGITAL_P기타faq문의,DIGITAL,P
닉네임 변경,DIGITAL_P회원정보문의,DIGITAL,P
모바일카드,DIGITAL_P결제문의,DIGITAL,P
취소 수수료 있나,DIGITAL_P주문취소,DIGITAL,P
카테고리를 찾을수가없네요,DIGITAL_P상담품목,DIGITAL,P
어떤 카테고리를 알고 았,DIGITAL_P상담품목,DIGITAL,P
사람이랑 이야기 하고 싶어요,DIGITAL_P상담원연결,DIGITAL,P
추석 배송 안내,DIGITAL_P배송일문의,DIGITAL,P
증정품 없습니다,MART_P사은품문의,MART,P
입금 되었다는 문자가 없네요,DIGITAL_P기타faq문의,DIGITAL,P
$통화좀$,DIGITAL_P전화요청,DIGITAL,P
저녁 드시나요,DIGITAL_P채팅,DIGITAL,P
무예요,"FAQ_P도움말요청,DIGITAL_P설명요청",FAQ,P
skt 포인트 사용,DIGITAL_P결제문의,DIGITAL,P
카드를 바꾸고싶은데,DIGITAL_P결제문의,DIGITAL,P
톡매니저부탁해요,DIGITAL_P상담원연결,DIGITAL,P
모레쯤 구매하고 싶은데요,DIGITAL_P구매예정,DIGITAL,P
지루해,DIGITAL_P채팅,DIGITAL,P
친구있냐,DIGITAL_P채팅,DIGITAL,P
쿠폰이 다시 살아나나요,DIGITAL_P쿠폰적용문의,DIGITAL,P
응답해주시는거 프로그램인가요,DIGITAL_P챗봇여부문의,DIGITAL,P
저렴하고,MART_P행사상품,MART,P
색이 변질,DIGITAL_P기타faq문의,DIGITAL,P
상품배송지변경,DIGITAL_P배송지변경문의,DIGITAL,P
왜더싸죠,DIGITAL_P가격문의,DIGITAL,P
수리는 어떻게 되나요,DIGITAL_Pa/s문의,DIGITAL,P
단골 보기는 어디에,DIGITAL_P기타faq문의,DIGITAL,P
물건 기다리다가 목 빠져요,DIGITAL_P배송일문의,DIGITAL,P
t멤버십 적용방법,DIGITAL_P결제문의,DIGITAL,P
환불 받으려고 합니다,DIGITAL_P환불문의,DIGITAL,P
고객상담실연결,DIGITAL_P상담원연결,DIGITAL,P
도착일 확실해,MART_P배송문의,MART,P
//보통 50~60만원대면 되나요,DIGITAL_P가격문의,DIGITAL,P
알리미서비스 해제방법,DIGITAL_P알림설정문의_P기타faq문의,DIGITAL,P
신선식품에는 뭐가 있,MART_P신선식품문의,MART,P
$event$,MART_P이벤트,MART,P
처음부터 다시,DIGITAL_P처음으로,DIGITAL,P
환불안내,DIGITAL_P환불문의,DIGITAL,P
최저가격이 어떻게 되죠,DIGITAL_P가격문의,DIGITAL,P
밥 잘먹어라,DIGITAL_P채팅,DIGITAL,P
$삼성페이$,DIGITAL_P결제문의,DIGITAL,P
교환진행상황,DIGITAL_P교환문의,DIGITAL,P
끝말잇기,DIGITAL_P채팅,DIGITAL,P
접속이안돼요,DIGITAL_P기타faq문의,DIGITAL,P
사용 가이드 알려,DIGITAL_P도움말보기,DIGITAL,P
배송도 안되고,DIGITAL_P배송문의,DIGITAL,P
제조일이 어떠헥,MART_P제조일자문의,MART,P
추천해준 이유가,DIGITAL_P추천기준,DIGITAL,P
전화연결이 아예 안되요,DIGITAL_P전화요청,DIGITAL,P
반반사,DIGITAL_P채팅,DIGITAL,P
딴거 보여줘,DIGITAL_P추가추천,DIGITAL,P
저번에 뭐샀지,MART_P지난구매상품보기,MART,P
환불씨뱅아,DIGITAL_P환불문의,DIGITAL,P
그럼 안녕요,DIGITAL_P대화종료,DIGITAL,P
쿠폰 오늘까지만 사용,DIGITAL_P쿠폰적용문의,DIGITAL,P
무상 보증기간 알려주세요,DIGITAL_Pa/s문의,DIGITAL,P
정보변경 어케,DIGITAL_P회원정보문의,DIGITAL,P
$십일절$,MART_P십일절,MART,P
할부 불가인가요,DIGITAL_P결제문의,DIGITAL,P
$국민카드$,DIGITAL_P결제문의,DIGITAL,P
문의드리겠습니다,DIGITAL_P추천,DIGITAL,P
결재할래,MART_P구매,MART,P
차이 뭔가여,DIGITAL_P차이점,DIGITAL,P
반품신청,DIGITAL_P반품문의,DIGITAL,P
리뷰다는거 없나요,DIGITAL_P기타faq문의,DIGITAL,P
매장동일상품이면,DIGITAL_P제품별차이점,DIGITAL,P
됐다 나가기,DIGITAL_P대화종료,DIGITAL,P
웰컴페스티발,DIGITAL_P행사문의,DIGITAL,P
본인 핸드폰 없으면 주문 못합니까,DIGITAL_P기타faq문의,DIGITAL,P
포인트로 구매하려고,DIGITAL_P결제문의,DIGITAL,P
무료배송 쿠폰 없음,DIGITAL_P쿠폰요청,DIGITAL,P
$새상닷$,DIGITAL_P새상담,DIGITAL,P
얼마이상 사야 무료배송이죠,DIGITAL_P배송비문의,DIGITAL,P
가격이 다르네요,DIGITAL_P가격문의,DIGITAL,P
사람인거같은데,DIGITAL_P챗봇여부문의,DIGITAL,P
무엇이 제일 싸,MART_P행사상품,MART,P
난 너로 충분해,DIGITAL_P채팅,DIGITAL,P
차이를 모르겠네요,DIGITAL_P차이점,DIGITAL,P
쿠폰 가능한 상품,DIGITAL_P쿠폰적용문의,DIGITAL,P
id를 문의하라는데요,DIGITAL_P회원정보문의,DIGITAL,P
ok캐시백 카드 등록,DIGITAL_P기타faq문의,DIGITAL,P
아이디 어디서 확인,DIGITAL_P회원정보문의,DIGITAL,P
잘못주문했는데 혹시 취소,DIGITAL_P주문취소,DIGITAL,P
샀던 물건 알려줘,DIGITAL_P주문이력확인,DIGITAL,P
언제 환불되나요,DIGITAL_P환불문의,DIGITAL,P
수욜에 받을수 있나,DIGITAL_P배송문의,DIGITAL,P
제품명은 무엇인가요,DIGITAL_P상품문의_P상담원연결,DIGITAL,P
상담후 환불가능하다고 해서요,DIGITAL_P환불문의,DIGITAL,P
마지막 구매는,MART_P지난구매상품보기,MART,P
영수증확인,DIGITAL_P기타faq문의,DIGITAL,P
신상이 들어오는걸로 알고,DIGITAL_P기타faq문의,DIGITAL,P
11페이 정보변경,DIGITAL_P결제문의,DIGITAL,P
챗봇으로 앞으로 더 더편히,DIGITAL_P대화종료,DIGITAL,P
전세계배송주문은 할수없나요,DIGITAL_P배송문의,DIGITAL,P
잘못구매했네요 취소,DIGITAL_P주문취소,DIGITAL,P
배송주문 주소,DIGITAL_P배송지변경문의,DIGITAL,P
$니 마음$,DIGITAL_P채팅,DIGITAL,P
생일쿠폰뭐니,DIGITAL_P쿠폰요청,DIGITAL,P
상품 훼손,DIGITAL_P기타faq문의,DIGITAL,P
빠른취소바랍니다,DIGITAL_P주문취소,DIGITAL,P
주문이 안돼네,DIGITAL_P상담원연결,DIGITAL,P
배송 언제 되는지 궁금,DIGITAL_P배송일문의,DIGITAL,P
쿠폰 안 주시나,DIGITAL_P쿠폰요청,DIGITAL,P
배송비가 왜 이렇게 비싸요,DIGITAL_P배송비문의,DIGITAL,P
정품 인가요,DIGITAL_P상품문의_P상담원연결,DIGITAL,P
왜 안받아져,DIGITAL_P쿠폰요청,DIGITAL,P
서비스 접수,DIGITAL_Pa/s문의,DIGITAL,P
차이를 모르겠는데,DIGITAL_P차이점,DIGITAL,P
$전단지$,MART_P행사상품,MART,P
상담은 어제까지나 가능하나요,DIGITAL_P상담시간,DIGITAL,P
지금 필요한거 뭐지,DIGITAL_P추천,DIGITAL,P
$또 추천해줘$,DIGITAL_P추가추천,DIGITAL,P
푸쉬 알림,DIGITAL_P알림설정문의,DIGITAL,P
쿠폰이 있던데 쓰지 못,DIGITAL_P쿠폰적용문의,DIGITAL,P
재미있는거,DIGITAL_P채팅,DIGITAL,P
현금도가능,DIGITAL_P결제문의,DIGITAL,P
여기고객센터예요?,DIGITAL_P기타faq문의,DIGITAL,P
첫구매 혜택,DIGITAL_P할인문의,DIGITAL,P
편의점픽업,DIGITAL_P기타faq문의,DIGITAL,P
$브랜드는$,DIGITAL_P브랜드문의,DIGITAL,P
온라인 제품은 품질이 다르다고 하던데요,DIGITAL_P제품별차이점,DIGITAL,P
너가하는일은 뭐니,DIGITAL_P상담품목,DIGITAL,P
$훔$,DIGITAL_P처음으로,DIGITAL,P
홈페이지문의,DIGITAL_P기타faq문의,DIGITAL,P
교환하기로했는데요,DIGITAL_P교환문의,DIGITAL,P
왜 초과이용료가 발생,DIGITAL_P기타faq문의_CATEN프로젝트엔,DIGITAL,P
사용가능한 쿠폰은,DIGITAL_P쿠폰요청,DIGITAL,P
제품 교환 상황,DIGITAL_P교환문의,DIGITAL,P
챗봇 상담하기,DIGITAL_P상담요청,DIGITAL,P
핸드폰인증고객을하고싶은데,DIGITAL_P본인인증문의,DIGITAL,P
환불조치가 아직안,DIGITAL_P환불문의,DIGITAL,P
무이자 길면,DIGITAL_P결제문의,DIGITAL,P
$오늘점심$,MART_P추천,MART,P
찜 어떻게,DIGITAL_P찜기능안내,DIGITAL,P
쿠폰 환급 안,DIGITAL_P쿠폰적용문의,DIGITAL,P
디지털 상품만 가능해,DIGITAL_P상담품목,DIGITAL,P
직접 대답해주시는건가요,DIGITAL_P챗봇여부문의,DIGITAL,P
직영설치하는,DIGITAL_P설치문의,DIGITAL,P
잘봤어요.수고,DIGITAL_P대화종료,DIGITAL,P
$넌 봇이니$,DIGITAL_P챗봇여부문의,DIGITAL,P
$회원가입$,DIGITAL_P회원정보문의,DIGITAL,P
$돈 없어$,DIGITAL_P채팅,DIGITAL,P
상품만 찾아주나요,DIGITAL_P상담요청,DIGITAL,P
품절상품 입고되나요,MART_P재입고문의,MART,P
티멤버십 플러스 하려고하는데,DIGITAL_P기타faq문의,DIGITAL,P
티멤버쉽 상담,DIGITAL_P티멤버십관련문의_P기타faq문의,DIGITAL,P
택배사 어디야,DIGITAL_P배송문의,DIGITAL,P
지난번 구매한,MART_P지난구매상품보기,MART,P
쿠폰은 어느 카테고리에서,DIGITAL_P쿠폰적용문의,DIGITAL,P
증정품 도착하지 않았습니다,MART_P사은품문의,MART,P
//괜찮나요,DIGITAL_P상품문의_P상담원연결,DIGITAL,P
식구들과 의논 해 보도록 하겠습니다,DIGITAL_P대화종료,DIGITAL,P
지불방법,DIGITAL_P결제문의,DIGITAL,P
챗봇이구나,DIGITAL_P챗봇여부문의,DIGITAL,P
쿠폰 있는데 사용이 왜 안,DIGITAL_P쿠폰적용문의,DIGITAL,P
물건 언제쯤 도착 알려주세요,DIGITAL_P배송문의,DIGITAL,P
배송지 주소가 왜자꾸 않되죠,DIGITAL_P배송지변경문의,DIGITAL,P
너 일하고 있어,DIGITAL_P채팅,DIGITAL,P
무통장 입급 하는방법,DIGITAL_P결제문의,DIGITAL,P
배송 왜 안해,DIGITAL_P배송문의,DIGITAL,P
민원방법,DIGITAL_P기타faq문의,DIGITAL,P
춥다,DIGITAL_P채팅,DIGITAL,P
이쁜,DIGITAL_P디자인문의,DIGITAL,P
제품 생산지가 어떻게,MART_P원산지문의,MART,P
웰콤딜 왜 안되요,DIGITAL_P쿠폰적용문의,DIGITAL,P
브이아이피,DIGITAL_P기타faq문의,DIGITAL,P
알아본다음에 알려주시라고요,DIGITAL_P대화종료,DIGITAL,P
사람 아닌 줄,DIGITAL_P챗봇여부문의,DIGITAL,P
제조사 목록,DIGITAL_P상품문의,DIGITAL,P
구입목록,DIGITAL_P주문이력확인,DIGITAL,P
딴 제품 카테고리,DIGITAL_P새상담,DIGITAL,P
왜 돈이안들어,DIGITAL_P환불문의,DIGITAL,P
상품을 반품할 때,DIGITAL_P반품문의,DIGITAL,P
브랜드문의,DIGITAL_P브랜드문의,DIGITAL,P
기분이 꿀꿀해,DIGITAL_P채팅,DIGITAL,P
할인 알림 예약,DIGITAL_P알림설정문의,DIGITAL,P
주문상품 빨리좀 부탁합니다,DIGITAL_P배송문의,DIGITAL,P
상담 가능해,DIGITAL_P상담요청,DIGITAL,P
제품 안보내 줍니까,DIGITAL_P배송문의,DIGITAL,P
이메일 수신 거부,DIGITAL_P기타faq문의,DIGITAL,P
m포인트 언제 또하나요,DIGITAL_P행사문의,DIGITAL,P
챗봇 많이 이용할께요,DIGITAL_P대화종료,DIGITAL,P
설치 제일 빠른거요,DIGITAL_P설치문의,DIGITAL,P
금액을 틀리게 넣은거 같아서 문의,DIGITAL_P결제문의,DIGITAL,P
내일 배송이 가능한지,DIGITAL_P배송일문의,DIGITAL,P
가격이 올랐어요,DIGITAL_P가격차이,DIGITAL,P
핫딜제품 소개,MART_P행사상품문의,MART,P
입금시 주문자 명으로만 입금,DIGITAL_P결제문의,DIGITAL,P
유통기한 널널한걸로,MART_P새제품요청,MART,P
비교해보고 사도록,DIGITAL_P구매예정,DIGITAL,P
다른모델추천,DIGITAL_P추가추천,DIGITAL,P
주문하면 사은품도 같이,MART_P사은품문의,MART,P
제품이 교환이 안되고,DIGITAL_P교환문의,DIGITAL,P
교환신청 했는데,DIGITAL_P교환문의,DIGITAL,P
대답 좀요,DIGITAL_P추천,DIGITAL,P
챗봇이 아닌가요,DIGITAL_P챗봇여부문의,DIGITAL,P
부탁드리,DIGITAL_P추천,DIGITAL,P
취소한 금액 돌려,DIGITAL_P환불문의,DIGITAL,P
$가송장$,DIGITAL_P배송문의,DIGITAL,P
생산지 부탁,MART_P원산지문의,MART,P
어느제품이 알맞은가요,DIGITAL_P상품문의_P상담원연결,DIGITAL,P
캐쉬를 현금으로,DIGITAL_P기타faq문의,DIGITAL,P
이거 봇이예요,DIGITAL_P챗봇여부문의,DIGITAL,P
상품 미수령 확인 요망,DIGITAL_P배송문의,DIGITAL,P
새제품으로 보내,MART_P새제품요청,MART,P
재입고는 안되나요,MART_P재입고문의 ,MART,P
묶음배송이가능,DIGITAL_P배송문의,DIGITAL,P
구매후 오후에 취소하고,DIGITAL_P주문취소,DIGITAL,P
행사 상품만 보여,MART_P행사상품문의,MART,P
새로운 품목,DIGITAL_P새상담,DIGITAL,P
주문하고시퍼,MART_P주문,MART,P
꼭 제품만 문의,DIGITAL_P상담품목,DIGITAL,P
주문한걸 받았는데,DIGITAL_P배송완료,DIGITAL,P
$그외$,DIGITAL_P추가추천,DIGITAL,P
티멤버십  적용,DIGITAL_P티멤버십관련문의_P기타faq문의,DIGITAL,P
$새 품목$,DIGITAL_P새상담,DIGITAL,P
$쎅쓰$,DIGITAL_P19금,DIGITAL,P
11PAY 인증방식,DIGITAL_P결제문의,DIGITAL,P
심심햐,DIGITAL_P채팅,DIGITAL,P
개인인증,DIGITAL_P본인인증문의,DIGITAL,P
교환권을어떻게받나요,DIGITAL_P기타faq문의,DIGITAL,P
그냥 안 먹을래,DIGITAL_P채팅,DIGITAL,P
관한 문의,DIGITAL_P상담요청,DIGITAL,P
문의 시간 안내,DIGITAL_P상담시간,DIGITAL,P
$안왔어요$,DIGITAL_P배송문의,DIGITAL,P
상담우ㅏㄴ 연결,DIGITAL_P상담원연결,DIGITAL,P
전자제품 말고는 물어보면 안 돼,DIGITAL_P상담품목,DIGITAL,P
찾는제품은 없지만 궁금한점이 있습니다 ,DIGITAL_P상담요청,DIGITAL,P
두 제품중 고민인데,DIGITAL_P상담요청,DIGITAL,P
무배쿠폰 좀 많이주심,DIGITAL_P쿠폰요청,DIGITAL,P
무통장입금을 하려고하는데,DIGITAL_P결제문의,DIGITAL,P
배송 지연 문의,DIGITAL_P배송문의,DIGITAL,P
쿠폰 교환 했는데 문자가안오죠,DIGITAL_P기타faq문의,DIGITAL,P
$궁금한게$,DIGITAL_P상담요청,DIGITAL,P
오늘뭘사야이득이냐,MART_P행사상품문의,MART,P
내맘대로쿠폰 어디서다운,DIGITAL_P쿠폰요청,DIGITAL,P
돈을 다시 넣어주시나요,DIGITAL_P환불문의,DIGITAL,P
쿠폰내놓으라고,DIGITAL_P쿠폰요청,DIGITAL,P
재결제할 때 오류가 납니다,DIGITAL_P결제문의,DIGITAL,P
잡담도 가능해,DIGITAL_P채팅,DIGITAL,P
사람이 추천해주는,DIGITAL_P챗봇여부문의,DIGITAL,P
바로 할인가 찬스,DIGITAL_P바로할인가설명,DIGITAL,P
